phylogatr_id	accession	source_id	latitude	longitude	basis_of_record	coordinate_uncertainty_in_meters	issue	flag
GU731517_665917592	GU731517	665917592	40.653419	-115.4155	PRESERVED_SPECIMEN	0	GEODETIC_DATUM_ASSUMED_WGS84	""
JF436792_2304138711	JF436792	2304138711	51.05	-114.96	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436793_2308487583	JF436793	2308487583	51.05	-114.96	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436794_2305295719	JF436794	2305295719	51.03	-115.03	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436795_2306561517	JF436795	2306561517	51.05	-114.96	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436796_2305566142	JF436796	2305566142	51.03	-115.03	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436797_2305129476	JF436797	2305129476	51.03	-115.03	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436798_2304616936	JF436798	2304616936	50.76	-115.14	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436799_2304829841	JF436799	2304829841	50.76	-115.14	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	m
JF436800_2308129286	JF436800	2308129286	50.82	-115.2	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436801_2309679800	JF436801	2309679800	50.82	-115.2	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436802_2310225184	JF436802	2310225184	50.79	-115.16	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436803_1841787916	JF436803	1841787916	50.59	-114.98	PRESERVED_SPECIMEN	0	GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID	g
JF436803_2248500445	JF436803	2248500445	50.5985	-114.989	MATERIAL_SAMPLE	0	GEODETIC_DATUM_ASSUMED_WGS84	g
JF436803_2309302685	JF436803	2309302685	50.6	-114.99	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	g
JF436804_2309906611	JF436804	2309906611	51.28	-114.83	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436805_2309751775	JF436805	2309751775	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436806_2310484881	JF436806	2310484881	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436807_2309725775	JF436807	2309725775	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436808_2309780593	JF436808	2309780593	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436809_2310361815	JF436809	2310361815	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436810_2310466501	JF436810	2310466501	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436811_2309662987	JF436811	2309662987	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436812_2310004969	JF436812	2310004969	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
JF436813_2311129862	JF436813	2311129862	50.73	-113.98	PRESERVED_SPECIMEN	0	COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84	b
