gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Anourosorex-squamipes-COI	Mammalia/Soricomorpha/Soricidae/Anourosorex-squamipes	1.0	8	8	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Anourosorex	Anourosorex squamipes		
Anourosorex-squamipes-CYTB	Mammalia/Soricomorpha/Soricidae/Anourosorex-squamipes	1.0	382	382	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Anourosorex	Anourosorex squamipes		
Anourosorex-squamipes-ND2	Mammalia/Soricomorpha/Soricidae/Anourosorex-squamipes	1.0	310	310	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Anourosorex	Anourosorex squamipes		
Blarina-brevicauda-APOB	Mammalia/Soricomorpha/Soricidae/Blarina-brevicauda	1.0	3	3	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Blarina	Blarina brevicauda		Soricidae sp. BOLD:AAA8615
Blarina-brevicauda-COI	Mammalia/Soricomorpha/Soricidae/Blarina-brevicauda	1.0	44	44	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Blarina	Blarina brevicauda		Soricidae sp. BOLD:AAA8615
Blarina-brevicauda-CYTB	Mammalia/Soricomorpha/Soricidae/Blarina-brevicauda	1.0	6	6	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Blarina	Blarina brevicauda		Soricidae sp. BOLD:AAA8615
Chimarrogale-platycephalus-CYTB	Mammalia/Soricomorpha/Soricidae/Chimarrogale-platycephalus	1.0	13	13	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Chimarrogale	Chimarrogale platycephalus		
Crocidura-dsinezumi-CYTB	Mammalia/Soricomorpha/Soricidae/Crocidura-dsinezumi	1.0	6	6	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura dsinezumi		
Crocidura-macmillani-COI	Mammalia/Soricomorpha/Soricidae/Crocidura-macmillani	1.0	3	3	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura macmillani		
Crocidura-olivieri-COI	Mammalia/Soricomorpha/Soricidae/Crocidura-olivieri	1.0	3	3	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura olivieri		
Crocidura-suaveolens-COI	Mammalia/Soricomorpha/Soricidae/Crocidura-suaveolens	1.0	7	7	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura suaveolens		
Crocidura-tanakae-COI	Mammalia/Soricomorpha/Soricidae/Crocidura-tanakae	1.0	25	25	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Crocidura	Crocidura tanakae		Crocidura cf. tanakae
