gene	dir	proportion_retained	num_seqs_unaligned	num_seqs_aligned	kingdom	phylum	class	order	family	genus	species	subspecies	different_genbank_species
Abra-aequalis-COI	Bivalvia/Cardiida/Semelidae/Abra-aequalis	1.0	6	6	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra aequalis		
Abra-alba-COI	Bivalvia/Cardiida/Semelidae/Abra-alba	1.0	3	3	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra alba		
Abra-nitida-COI	Bivalvia/Cardiida/Semelidae/Abra-nitida	1.0	6	6	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra nitida		
Abra-prismatica-COI	Bivalvia/Cardiida/Semelidae/Abra-prismatica	1.0	4	4	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	Abra	Abra prismatica		
Abyssogena-phaseoliformis-COI	Bivalvia/Venerida/Vesicomyidae/Abyssogena-phaseoliformis	1.0	4	4	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Abyssogena	Abyssogena phaseoliformis		
Abyssogena-southwardae-COI	Bivalvia/Venerida/Vesicomyidae/Abyssogena-southwardae	1.0	96	96	Animalia	Mollusca	Bivalvia	Venerida	Vesicomyidae	Abyssogena	Abyssogena southwardae		
Acanthocardia-echinata-COI	Bivalvia/Cardiida/Cardiidae/Acanthocardia-echinata	1.0	11	11	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Acanthocardia	Acanthocardia echinata		
Acanthochitona-achates-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-achates	1.0	11	11	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona achates		
Acanthochitona-crinita-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-crinita	1.0	12	12	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona crinita		
Acanthochitona-defilippii-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-defilippii	1.0	6	6	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona defilippii		
Acanthochitona-hemphilli-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-hemphilli	1.0	4	4	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona hemphilli		
Acanthochitona-rubrolineata-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-rubrolineata	1.0	3	3	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona rubrolineata		
Acanthochitona-viridis-COI	Polyplacophora/Chitonida/Acanthochitonidae/Acanthochitona-viridis	1.0	3	3	Animalia	Mollusca	Polyplacophora	Chitonida	Acanthochitonidae	Acanthochitona	Acanthochitona viridis		
Acanthodoris-nanaimoensis-COI	Gastropoda/Nudibranchia/Onchidorididae/Acanthodoris-nanaimoensis	1.0	3	3	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Acanthodoris	Acanthodoris nanaimoensis		
Acanthodoris-pilosa-COI	Gastropoda/Nudibranchia/Onchidorididae/Acanthodoris-pilosa	1.0	15	15	Animalia	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Acanthodoris	Acanthodoris pilosa		
Acesta-cryptadelphe-COI	Bivalvia/Limida/Limidae/Acesta-cryptadelphe	1.0	6	6	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta cryptadelphe		
Acesta-mori-COI	Bivalvia/Limida/Limidae/Acesta-mori	1.0	3	3	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta mori		
Acesta-sphoni-COI	Bivalvia/Limida/Limidae/Acesta-sphoni	1.0	4	4	Animalia	Mollusca	Bivalvia	Limida	Limidae	Acesta	Acesta sphoni		
Acharax-johnsoni-COI	Bivalvia/Solemyida/Solemyidae/Acharax-johnsoni	1.0	3	3	Animalia	Mollusca	Bivalvia	Solemyida	Solemyidae	Acharax	Acharax johnsoni		
Achatina-achatina-COI	Gastropoda/Stylommatophora/Achatinidae/Achatina-achatina	1.0	6	6	Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina	Achatina achatina		
Achatina-fulica-COI	Gastropoda/Stylommatophora/Achatinidae/Achatina-fulica	1.0	5	5	Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina	Achatina fulica		
Acrosterigma-transcendens-H3	Bivalvia/Cardiida/Cardiidae/Acrosterigma-transcendens	1.0	3	3	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Acrosterigma	Acrosterigma transcendens		
Acteocina-canaliculata-COI	Gastropoda/Cephalaspidea/Tornatinidae/Acteocina-canaliculata	1.0	6	6	Animalia	Mollusca	Gastropoda	Cephalaspidea	Tornatinidae	Acteocina	Acteocina canaliculata		
