sp,pi,n
Panopea-zelandica-COI,0.00477042337507454,3
Ensis-directus-COI,0.0138006571741511,11
Phaxas-pellucidus-COI,0.0151389054016566,13
Sinonovacula-constricta-COI,0.00635628198778273,9
Anadara-transversa-COI,0.00220959595959596,4
Bathyarca-glacialis-COI,0.00508231134681251,7
Bathyarca-pectunculoides-COI,0.0831353919239905,4
Lunarca-ovalis-COI,0.00119047619047619,8
Tegillarca-granosa-COI,0.088724584103512,3
Glycymeris-glycymeris-COI,0.00753904146472806,3
Glycymeris-septentrionalis-COI,0.00104166666666667,4
Limopsis-marionensis-COI,0.308539944903581,3
Noetia-ponderosa-COI,0.0015220700152207,4
Acanthocardia-echinata-COI,0.0079324563125859,11
Acrosterigma-transcendens-H3,0,3
Afrocardium-exochum-H3,0.00199004975124378,4
Ciliatocardium-ciliatum-COI,0.00195569136745607,11
Clinocardium-nuttallii-COI,0.000821777092963534,6
Fulvia-dulcis-H3,0.00379867046533713,3
Fulvia-hungerfordi-H3,0.019364161849711,5
Keenocardium-blandum-COI,0.0658862876254181,5
Keenocardium-californiense-COI,0,3
Monodacna-colorata-COI,0.00112422709387296,4
Parvicardium-pinnulatum-COI,0.110161443494777,3
Serripes-laperousii-COI,0.00200803212851406,3
Tridacna-noae-COI,0.00629408572978839,20
Donax-trunculus-COI,0.00566157760814249,16
Donax-vittatus-COI,0.00367062564294398,17
Abra-aequalis-COI,0.000508905852417303,6
Abra-alba-COI,0.00254452926208651,3
Abra-nitida-COI,0.000983606557377049,6
Abra-prismatica-COI,0.0986509274873524,4
Tagelus-divisus-COI,0.00333333333333333,7
Tagelus-plebeius-COI,0.00665939658306071,15
Ameritella-mitchelli-COI,0.000964242667738047,19
Limecola-balthica-ATP6,0.0278481012658228,6
Limecola-balthica-ATP8,0.0299741602067183,6
Limecola-balthica-COI,0.0133370236728446,201
Limecola-balthica-COII,0.0178403755868545,6
Limecola-balthica-COIII,0.0366543665436654,6
Limecola-balthica-CYTB,0.0191552327145547,6
Limecola-balthica-NAD1,0.0238816738816739,6
Limecola-balthica-NAD2,0.0353445433564128,6
Limecola-balthica-NAD3,0.0242424242424242,6
Limecola-balthica-NAD4,0.0299279144916729,6
Limecola-balthica-NAD4L,0.0302405498281787,6
Limecola-balthica-NAD5,0.0321483180428135,6
Limecola-balthica-NAD6,0.0474406991260924,6
Limecola-petalum-COI,0.00775188007370885,97
Macoma-calcarea-COI,0.0609158148425164,7
Macoma-moesta-COI,0.00581923986179305,10
Macomangulus-tenuis-COI,0.0036697247706422,3
Pseudocadella-nuculoides-COI,0,6
Astarte-montagui-COI,0.00346214373142158,20
Astarte-sulcata-COI,0.00300751879699248,5
Cyclocardia-crassidens-COI,0.000791139240506329,4
Kellia-suborbicularis-COI,0.25177304964539,4
Koreamya-arcuata-COI,0.00922849760059062,10
Acesta-cryptadelphe-COI,0.0113765642775882,6
Acesta-mori-COI,0.00529941706412295,3
Acesta-sphoni-COI,0.00533333333333333,4
Lucinoma-borealis-COI,0.0682931735563315,19
Parvilucina-crenella-COI,0.0128617363344051,4
Axinopsida-orbiculata-COI,0.00101626016260163,4
Axinopsida-serricata-COI,0.00102092904543134,3
Thyasira-flexuosa-COI,0.000818330605564648,4
Corbula-gibba-COI,0.00828789531079607,7
Potamocorbula-amurensis-COI,0.0079247152055473,9
Dreissena-polymorpha-COI,0.000243389755503927,24
Mytilopsis-leucophaeata-COI,0.00882205513784461,36
Mytilopsis-sallei-COI,0.0348750664540138,34
Mya-arenaria-COI,0.0218355199222546,49
Mya-truncata-COI,0.053861104881513,13
Lyrodus-pedicellatus-COI,0.0841622916091001,12
Nototeredo-norvagica-COI,0.0029790997532933,12
Teredothyra-dominicensis-COI,0,4
Adipicola-crypta-COI,0.020524718900589,14
Adipicola-iwaotakii-COI,0.00508394115008924,98
Adipicola-longissima-COI,0.000964374858180168,13
Arcuatula-papyria-COI,0.00884250199318692,7
Arvella-faba-COI,0.000149104723378324,48
Bathymodiolus-antarcticus-COI,0.00579689965654878,28
Bathymodiolus-antarcticus-COL,0.006399847531923,100
Bathymodiolus-antarcticus-EF1A,0.00035650623885918,110
Bathymodiolus-antarcticus-SAHH,0.00830221558376898,104
Bathymodiolus-azoricus-COI,0.0035036778939218,16
Bathymodiolus-boomerang-COI,0.00298541059947382,58
Bathymodiolus-brevior-COI,0.0016220600162206,3
Bathymodiolus-brooksi-COI,0.0075190127708423,46
Bathymodiolus-childressi-COI,0.0100720839149362,203
Bathymodiolus-childressi-ND4,0.00560229451606831,39
Bathymodiolus-heckerae-COI,0.00350145553265954,80
Bathymodiolus-japonicus-COI,0.00232018561484919,4
Bathymodiolus-japonicus-ND4,0.255077658303465,4
Bathymodiolus-manusensis-COI,0.00443131462333826,4
Bathymodiolus-mauritanicus-COI,0.00340909090909091,5
Bathymodiolus-platifrons-ATP6,0.00193409189225089,112
Bathymodiolus-platifrons-COI,0.00210382047955141,116
Bathymodiolus-platifrons-ND4,0.016391966956274,119
Bathymodiolus-puteoserpentis-COI,0.00175298380221654,46
Bathymodiolus-securiformis-COI,0.00618716163959783,3
Bathymodiolus-septemdierum-CAT,0.0322215981400772,284
Bathymodiolus-septemdierum-COI,0.00601553379473979,220
Bathymodiolus-septemdierum-COL,0.00470983561892653,364
Bathymodiolus-septemdierum-EF1A,0,409
Bathymodiolus-septemdierum-H3,0.00137678022938546,472
Bathymodiolus-septemdierum-ND4,0.00639525709386894,224
Bathymodiolus-thermophilus-ANT,0.000899776869175897,365
Bathymodiolus-thermophilus-CAT,0.0233726434384329,352
Bathymodiolus-thermophilus-COI,0.0122532347784026,448
Bathymodiolus-thermophilus-COL,0.00136516466565728,232
Bathymodiolus-thermophilus-EF1A,9.61168781237985e-05,204
Bathymodiolus-thermophilus-ND4,0.0315208825847124,3
Bathymodiolus-thermophilus-SAHH,0.00133366426739472,238
Benthomodiolus-geikotsucola-ND4,0.00315208825847124,3
Brachidontes-exustus-COI,0.00806858295511851,4
Brachidontes-puniceus-COI,0,4
Geukensia-demissa-COI,0.0136986301369863,4
Gigantidas-gladius-COI,0.00441104769552872,35
Idas-japonicus-COI,0.000963548768293791,20
Idas-modiolaeformis-COI,0.00505153935422213,39
Idas-simpsoni-COI,0.00268507863444572,11
Ischadium-recurvum-COI,0.00227479526842584,7
Modiolus-areolatus-COI,0.0203448275862069,5
Modiolus-barbatus-COI,0.00486322188449848,5
Modiolus-modiolus-COI,0.0444937906077802,7
Musculus-discors-COI,0.0519668737060041,25
Musculus-impactus-COI,0.0115340253748558,4
Musculus-niger-COI,0.0272219637040484,8
Mytilus-californianus-COI,0.0274754683318466,20
Mytilus-edulis-COI,0.0694351345407783,213
Mytilus-galloprovincialis-COI,0.0691079550728673,133
Mytilus-galloprovincialis-ND3,0.00694444444444444,8
Mytilus-trossulus-ATP6,0.149232914923291,3
Mytilus-trossulus-COI,0.0646260813323632,63
Mytilus-trossulus-COII,0.137174211248285,3
Mytilus-trossulus-COIII,0.147435897435897,3
Mytilus-trossulus-CYTB,0.138634046890928,3
Mytilus-trossulus-ND1,0.153550192374956,3
Mytilus-trossulus-ND2,0.181786216596343,3
Mytilus-trossulus-ND3,0.174738841405508,3
Mytilus-trossulus-ND4,0.372520908004779,6
Mytilus-trossulus-ND5,0.182948490230906,3
Mytilus-trossulus-ND6,0.189964157706093,3
Terua-arcuatilis-COI,0.00921128382268279,4
Terua-pacifica-COI,0.00433101314771848,6
Terua-pacifica-ND4,0.00378250591016548,5
Xenostrobus-securis-COI,0.0765757254410489,165
Bathyspinula-calcar-COI,0,4
Nuculana-minuta-COI,0.0539233038348083,6
Nuculana-pernula-COI,0.0084713130535233,7
Portlandia-arctica-COI,0,3
Yoldia-hyperborea-COI,0.00168119551681196,11
Yoldia-limatula-COI,0.00062402496099844,5
Yoldia-myalis-COI,0.00113765642775882,3
Ennucula-tenuis-COI,0.00191718812408468,29
Nucula-nitidosa-COI,0.0204972480546593,23
Nucula-profundorum-COI,0.0089938167509837,3
Nucula-proxima-COI,0.0630053908355795,8
Nucula-sulcata-COI,0.00251677852348993,4
Crassostrea-angulata-COI,0.00306372549019608,9
Crassostrea-brasiliana-COI,0,9
Crassostrea-virginica-COI,0.000529100529100529,15
Magallana-gigas-COI,0.00137093750503175,58
Magallana-hongkongensis-COI,0.00139017608897127,13
Ostrea-angelica-COI,0.00327799063431247,10
Ostrea-chilensis-COI,0.00824317362184441,3
Ostrea-conchaphila-COI,0.000946288773715584,45
Ostrea-conchaphila-COIII,0.0013703323055841,7
Ostrea-lurida-COI,0.00611397242066789,26
Ostrea-lurida-COIII,0.00205867007486441,77
Ostrea-stentina-COI,0.0119723902021868,18
Saccostrea-palmula-COI,0.00337434850357316,75
Atrina-pectinata-COI,0.0079960019990005,3
Isognomon-recognitus-COI,0.00102722136620442,4
Pinctada-margaritifera-COI,0.00674536256323777,3
Pododesmus-macrochisma-COI,0.000816793269623458,12
Delectopecten-fosterianus-COI,0,4
Placopecten-magellanicus-COI,0.00204498977505112,3
Pseudamussium-peslutrae-COI,0,3
Similipecten-greenlandicus-COI,0,19
Acharax-johnsoni-COI,0.35048471290082,3
Solemya-velum-COI,0.00254901960784314,6
Pisidium-rotundatum-COI,0.00368113734450368,13
Sphaerium-occidentale-COI,0.0014405762304922,8
Etheria-elliptica-COI,0.0878086419753086,10
Etheria-elliptica-H3,0.0196887441187115,10
Alasmidonta-varicosa-COI,0,3
Amblema-plicata-COI,0.00625978090766823,3
Anodonta-cataracta-COI,0,4
Contradens-contradens-COI,0.00809375809375809,27
Contradens-contradens-H3,0.0124777183600713,3
Cyclonaias-asperata-COI,0.0113168724279835,6
Cyclonaias-asperata-ND1,0.0104558762024258,6
Cyclonaias-infucata-COI,0.00393830488170111,21
Cyclonaias-infucata-ND1,0.00717284394866259,21
Cyclonaias-kleiniana-COI,0.0133744855967078,4
Cyclonaias-kleiniana-ND1,0.0081453634085213,4
Cyclonaias-necki-COI,0.00467701827434652,33
Cyclonaias-necki-ND1,0.00618322497243451,33
Cyclonaias-nodulata-COI,0.00487599831862127,13
Cyclonaias-nodulata-ND1,0.00666084650952242,13
Cyclonaias-petrina-COI,0.0062200956937799,34
Cyclonaias-petrina-ND1,0.0017557796813116,33
Cyclonaias-pustulosa-COI,0.0121008597214955,236
Cyclonaias-pustulosa-ND1,0.0160047782185359,236
Cyclonaias-succissa-COI,0.0102519673669771,19
Cyclonaias-succissa-ND1,0.00990477940050825,19
Cyclonaias-tuberculata-COI,0.00411522633744856,3
Cyclonaias-tuberculata-ND1,0.0041823504809703,3
Elliptio-complanata-COI,0.00489101541733121,6
Elliptio-crassidens-COI,0.00481540930979133,4
Elliptio-dariensis-COI,0.00954355639581991,380
Elliptio-fisheriana-COI,0.00212765957446809,5
Elliptio-hopetonensis-COI,0.00757828985470872,268
Elliptio-icterina-COI,0.00149960456082905,148
